2023:10:03:14:21:12; 66.82974624633789; 3105728.2267056177; ["-_","r","t","b","+*~",",;","a","w","z","n","k","ä","h","f","i","ü","m","e€","<>|","u","j","l","v","ö","g",".:","c","p","d","x","o","s","q@","y","#'"]
2023:10:03:14:22:20; 135.06751918792725; 2791880.053255908; ["x","u","d","ü","r","q@",",;","m","a","ä","w","+*~","e€","v",".:","l","j","f","g","i","s","o","t","z","h","k","c","-_","b","<>|","p","n","#'","y","ö"]
2023:10:03:14:23:27; 202.0600926876068; 2791880.053255908; ["x","u","d","ü","r","q@",",;","m","a","ä","w","+*~","e€","v",".:","l","j","f","g","i","s","o","t","z","h","k","c","-_","b","<>|","p","n","#'","y","ö"]
2023:10:03:14:24:30; 265.1842005252838; 2631570.7177590625; ["v","x","g","r","f",",;","l","a","+*~","w","ä","k","h","-_","d",".:","b","m","i","j","s","n","z","ö","u","e€","c","ü","p","<>|","q@","o","t","y","#'"]
2023:10:03:14:25:34; 329.52798676490784; 2615908.290690444; ["-_","f","t","b","+*~",",;","a","w","z","n","k","ä","h","r","i","ü","m","<>|","e€","u","j","l","v","ö","g",".:","c","p","d","x","s","o","y","q@","#'"]
2023:10:03:14:26:38; 393.5436141490936; 2306931.961393915; ["x","v","d","j","l",",;","m","#'","a","w","ä","+*~","u","e€",".:","ü","f","q@","i","r","s","n","t","z","h","-_","c","g","b","<>|","p","k","o","y","ö"]
2023:10:03:14:27:42; 457.18300676345825; 2148759.8670232156; ["x","v","d","j","l",",;","m","a","ö","w","ä","+*~","u","e€",".:","ü","f","q@","i","r","s","n","t","z","h","-_","c","g","b","<>|","p","o","k","y","#'"]
2023:10:03:14:28:46; 520.6361320018768; 2110688.3331059404; ["x","v","d","j","l",",;","m","a","z","w","ä","+*~","u","e€",".:","ü","f","q@","i","r","s","n","t","ö","h","-_","c","g","b","<>|","p","o","k","y","#'"]
2023:10:03:14:29:49; 584.4955079555511; 1951110.8557594793; ["x","v","d","j",".:",",;","m","a","ö","w","z","+*~","u","e€","l","ü","f","q@","i","r","s","n","t","ä","h","-_","c","g","b","<>|","y","k","o","p","#'"]
2023:10:03:14:30:54; 648.6189761161804; 1951110.8557594793; ["x","v","d","j",".:",",;","m","a","ö","w","z","+*~","u","e€","l","ü","f","q@","i","r","s","n","t","ä","h","-_","c","g","b","<>|","y","k","o","p","#'"]
2023:10:03:14:31:59; 713.6633589267731; 1871618.6064331701; ["x",".:","v","j","l",",;","m","a","ö","w","z","+*~","u","e€","d","ü","f","q@","i","r","s","n","t","ä","h","-_","c","g","b","<>|","y","k","o","p","#'"]
2023:10:03:14:33:03; 778.1125612258911; 1763415.1480237888; ["x","v","ü","j",".:",",;","m","a","ö","w","z","+*~","u","e€","l","d","f","q@","i","r","s","n","t","ä","h","-_","c","g","b","<>|","y","k","o","p","#'"]
2023:10:03:14:41:27; 1282.5742304325104; 1708687.8957764783; ["x","v","c","l",".:","<>|","w","a","ö","m","z","+*~","u","e€","t","d","f","g","i","r","s","n","ä","ü","h","-_","j","q@","b",",;","y","k","o","p","#'"]
2023:10:03:14:42:30; 1345.3711414337158; 1708687.8957764783; ["x","v","c","l",".:","<>|","w","a","ö","m","z","+*~","u","e€","t","d","f","g","i","r","s","n","ä","ü","h","-_","j","q@","b",",;","y","k","o","p","#'"]
2023:10:03:14:43:34; 1408.7148916721344; 1673573.4237033667; [",;","x","c","l",".:","ä","a","w","ö","m","q@","ü","u","e€","t","d","f","<>|","i","r","s","n","b","+*~","h","-_","j","v","z","o","y","k","g","p","#'"]
