2023:12:30:17:03:54; 112.16851592063904; 5046056.948972324; ["#'","<>|","j","x",",;","p","w","n","-_","f","h","ü","z","o","e€","l","+*~","ö","a","v","r","y","m","u","i","t","s","c","d","b",".:","ä","k","g","q@"]
2023:12:30:17:05:41; 219.10414600372314; 5006176.218904054; ["f","ö","s","m","o","v","u","y","k","r","t","ü","b","h","-_","w","g","e€","a","i","d","c",".:","+*~","x","p","l","n",",;","z","q@","<>|","#'","ä","j"]
2023:12:30:17:07:30; 328.5306148529053; 5006176.218904054; ["f","ö","s","m","o","v","u","y","k","r","t","ü","b","h","-_","w","g","e€","a","i","d","c",".:","+*~","x","p","l","n",",;","z","q@","<>|","#'","ä","j"]
2023:12:30:17:09:19; 437.3205313682556; 4846203.2334420495; ["r","d","y","o","b",".:","z","<>|","t","j","ä","ü","v","u","f","c",",;","s","a","e€","g","i","n","m","w","ö","l","p","h","q@","k","-_","+*~","x","#'"]
2023:12:30:17:11:07; 544.8909590244293; 4834520.5694871; ["u","d","l","o","b",".:","z","<>|","t","j","ä","ü","m","h","f","c",",;","v","a","e€","g","i","s","n","p","w","r","y","-_","q@","k","ö","+*~","x","#'"]
2023:12:30:17:12:54; 651.8675491809845; 4402022.895756338; ["p","+*~","t","h","ö","v","<>|","u","i","k","y","ü","r","o","a","s","l","e€","g",".:","n","d","ä","m","j","w","f","q@","z",",;","x","b","-_","c","#'"]
2023:12:30:17:14:42; 760.1554052829742; 4342138.03578126; ["v","d","h","o","b",".:","z","<>|","t","j","ü","ä","r","u","f","c",",;","s","a","e€","g","i","n","m","-_","ö","l","p","y","q@","k","w","+*~","x","#'"]
2023:12:30:17:16:31; 869.3234839439392; 4342138.03578126; ["v","d","h","o","b",".:","z","<>|","t","j","ü","ä","r","u","f","c",",;","s","a","e€","g","i","n","m","-_","ö","l","p","y","q@","k","w","+*~","x","#'"]
2023:12:30:17:18:20; 978.4667248725891; 4315904.587153292; ["v","d","l","o","b",".:","z","<>|","t","j","ä","ü","u","r","f","c",",;","g","a","e€","s","i","n","m","ö","w","y","h","p","-_","k","q@","+*~","x","#'"]
2023:12:30:17:20:08; 1086.1175463199615; 4315904.587153292; ["v","d","l","o","b",".:","z","<>|","t","j","ä","ü","u","r","f","c",",;","g","a","e€","s","i","n","m","ö","w","y","h","p","-_","k","q@","+*~","x","#'"]
2023:12:30:17:21:57; 1194.715000152588; 4040819.416228816; ["j","f","ö","o","u","z","<>|",".:","m","ä","t","ü","d","r","a","w","h","c","g","e€","s","i","n","#'","v","b","l","p",",;","q@","k","-_","+*~","y","x"]
2023:12:30:17:23:45; 1303.0014338493347; 4040819.416228816; ["j","f","ö","o","u","z","<>|",".:","m","ä","t","ü","d","r","a","w","h","c","g","e€","s","i","n","#'","v","b","l","p",",;","q@","k","-_","+*~","y","x"]
2023:12:30:17:25:35; 1412.9855246543884; 4040819.416228816; ["j","f","ö","o","u","z","<>|",".:","m","ä","t","ü","d","r","a","w","h","c","g","e€","s","i","n","#'","v","b","l","p",",;","q@","k","-_","+*~","y","x"]
2023:12:30:17:27:24; 1521.6485385894775; 4040819.416228816; ["j","f","ö","o","u","z","<>|",".:","m","ä","t","ü","d","r","a","w","h","c","g","e€","s","i","n","#'","v","b","l","p",",;","q@","k","-_","+*~","y","x"]
2023:12:30:17:29:09; 1627.195320367813; 4040819.416228816; ["j","f","ö","o","u","z","<>|",".:","m","ä","t","ü","d","r","a","w","h","c","g","e€","s","i","n","#'","v","b","l","p",",;","q@","k","-_","+*~","y","x"]
2023:12:30:17:30:55; 1732.63609790802; 4023485.474085276; ["j","f","ö","o","u","k","<>|",".:","m","ä","t","ü","d","r","a","w","h","c","g","e€","s","i","n","#'","z","b","l","p",",;","q@","v","-_","+*~","y","x"]
2023:12:30:17:32:41; 1839.4492897987366; 4023485.474085276; ["j","f","ö","o","u","k","<>|",".:","m","ä","t","ü","d","r","a","w","h","c","g","e€","s","i","n","#'","z","b","l","p",",;","q@","v","-_","+*~","y","x"]
2023:12:30:17:34:31; 1948.7175414562225; 4023485.474085276; ["j","f","ö","o","u","k","<>|",".:","m","ä","t","ü","d","r","a","w","h","c","g","e€","s","i","n","#'","z","b","l","p",",;","q@","v","-_","+*~","y","x"]
2023:12:30:17:36:16; 2054.185601711273; 3770881.5092325313; ["k","-_","f","o","u","z","w",".:","m","ä","t","ü","d","r","l","b","a","g","n","e€","s","i","ö","#'",",;","v","p","h","c","j","q@","<>|","+*~","y","x"]
2023:12:30:17:38:02; 2159.913421392441; 3770881.5092325313; ["k","-_","f","o","u","z","w",".:","m","ä","t","ü","d","r","l","b","a","g","n","e€","s","i","ö","#'",",;","v","p","h","c","j","q@","<>|","+*~","y","x"]
2023:12:30:17:39:49; 2267.076323032379; 3770881.5092325313; ["k","-_","f","o","u","z","w",".:","m","ä","t","ü","d","r","l","b","a","g","n","e€","s","i","ö","#'",",;","v","p","h","c","j","q@","<>|","+*~","y","x"]
2023:12:30:17:41:34; 2372.2376940250397; 3770881.5092325313; ["k","-_","f","o","u","z","w",".:","m","ä","t","ü","d","r","l","b","a","g","n","e€","s","i","ö","#'",",;","v","p","h","c","j","q@","<>|","+*~","y","x"]
2023:12:30:17:43:19; 2477.218108654022; 3762392.5550976614; [",;","c","j","f","v",".:","w","o","n","+*~","t","ü","d","r","a","u","h","g","l","e€","s","i","ö","#'","-_","b","z","k","p","q@","<>|","m","ä","y","x"]
2023:12:30:17:45:07; 2584.594726085663; 3762392.5550976614; [",;","c","j","f","v",".:","w","o","n","+*~","t","ü","d","r","a","u","h","g","l","e€","s","i","ö","#'","-_","b","z","k","p","q@","<>|","m","ä","y","x"]
2023:12:30:17:46:51; 2688.884873867035; 3628530.0926768654; [",;","c","j","f","v",".:","w","o","n","t","+*~","ö","d","r","a","u","h","g","l","e€","s","i","ü","#'","-_","b","z","k","p","q@","<>|","m","ä","y","x"]
2023:12:30:17:48:34; 2791.6047134399414; 3474596.8116075937; [",;","c","j","f","v","z","w","o",".:","+*~","t","ü","d","r","a","u","h","g","n","e€","s","i","ö","#'","-_","b","l","k","p","q@","<>|","m","ä","y","x"]
2023:12:30:17:50:20; 2897.698632955551; 3433396.234630026; [",;","c","j","f","v",".:","w","o","l","+*~","t","ü","d","r","a","u","h","g","n","e€","s","i","ö","#'","-_","b","z","k","p","q@","<>|","m","ä","y","x"]
2023:12:30:17:52:03; 3001.490928173065; 3403890.384781345; [",;","c","ä","f","v","z","w","o",".:","m","t","ü","d","a","r","u","h","g","n","e€","s","i","ö","#'","-_","b","l","k","q@","p","<>|","+*~","j","y","x"]
2023:12:30:17:55:32; 3209.849543571472; 3376847.8800800196; [",;","c","j","f","v","z","w","o","m","ä","t","ü","d","a","r","u","h","g","n","e€","s","i","ö","#'","x","b","l","k","p","q@","<>|",".:","+*~","y","-_"]
2023:12:30:17:57:15; 3313.4879715442657; 3343217.8885474894; [",;","c","j","f","v","z","w","o","m","ä","t","ü","d","a","r","u","h","g","n","e€","s","i","ö","#'","-_","b","l","k","q@","p","<>|",".:","+*~","y","x"]
2023:12:30:17:59:02; 3419.896151781082; 3326020.993595076; [",;","c","j","f","v","z","w","o","m","ä","t","ö","d","a","r","u","h","g","n","e€","s","i","ü","#'","x","b","l","k","q@","p","<>|",".:","+*~","y","-_"]
2023:12:30:18:00:45; 3523.3986992836; 3251153.5902591962; [",;","c","h","f","j","z","w","o","m","ä","+*~","ü","d","a","r","u","t","g","n","e€","s","i","ö","#'","-_","b","l","k","q@","p","<>|",".:","v","y","x"]
2023:12:30:18:02:31; 3628.9756326675415; 3251153.5902591962; [",;","c","h","f","j","z","w","o","m","ä","+*~","ü","d","a","r","u","t","g","n","e€","s","i","ö","#'","-_","b","l","k","q@","p","<>|",".:","v","y","x"]
2023:12:30:18:04:12; 3730.4940614700317; 3221310.1134990826; [",;","c","h","f","j","z","w","o","m","ä","ü","+*~","d","a","r","u","t","g","n","e€","s","i","ö","#'","-_","b","l","k","q@","p","<>|",".:","v","y","x"]
2023:12:30:18:16:24; 4461.877660036087; 3209520.882111754; ["ä","c",",;","f","v","z","w","o","m","t","ö","+*~","d","a","r","u","h","g","n","e€","i","s","ü","#'","-_","b","l","k","q@","p","<>|",".:","j","y","x"]
2023:12:30:18:18:09; 4566.860878229141; 3209520.882111754; ["ä","c",",;","f","v","z","w","o","m","t","ö","+*~","d","a","r","u","h","g","n","e€","i","s","ü","#'","-_","b","l","k","q@","p","<>|",".:","j","y","x"]
2023:12:30:18:19:51; 4669.52536034584; 3209520.179993024; ["ä","c",",;","f","v","z","w","o","m","t","ö","+*~","d","a","r","u","h","g","n","e€","i","s","ü","<>|","-_","b","l","k","q@","p","#'",".:","j","y","x"]
2023:12:30:18:21:37; 4775.089707136154; 3209520.179993024; ["ä","c",",;","f","v","z","w","o","m","t","ö","+*~","d","a","r","u","h","g","n","e€","i","s","ü","<>|","-_","b","l","k","q@","p","#'",".:","j","y","x"]
2023:12:30:18:23:23; 4881.124071121216; 3178379.658484988; ["ä","c",",;","f","v","p","w","o","m","t","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","b","j",".:","g","y","<>|"]
2023:12:30:18:26:54; 5092.499156713486; 3178379.658484988; ["ä","c",",;","f","v","p","w","o","m","t","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","b","j",".:","g","y","<>|"]
2023:12:30:18:28:39; 5196.8502407073975; 3168628.606290796; ["ä","c",",;","f","p","x","w","o","m","t","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","v","-_","l","k","q@","b","j",".:","g","y","<>|"]
2023:12:30:18:30:22; 5300.455207586288; 3168628.606290796; ["ä","c",",;","f","p","x","w","o","m","t","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","v","-_","l","k","q@","b","j",".:","g","y","<>|"]
2023:12:30:18:47:49; 6347.444233179092; 3153983.482861805; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","j","b",".:","f","y","<>|"]
2023:12:30:18:49:36; 6453.797163724899; 3153983.482861805; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","j","b",".:","f","y","<>|"]
2023:12:30:18:51:21; 6558.685472249985; 3147308.4600786073; ["ä","c",",;","f","v","p","m","o","t","w",".:","+*~","d","a","r","u","h","z","n","e€","i","s","b","#'","x","-_","l","k","q@","g","j","ö","ü","y","<>|"]
2023:12:30:18:56:32; 6870.539756536484; 3147049.282641107; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","b","j",".:","f","y","<>|"]
2023:12:30:18:58:19; 6977.087561845779; 3147049.282641107; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","b","j",".:","f","y","<>|"]
2023:12:30:19:00:07; 7084.826268911362; 3147049.282641107; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","b","j",".:","f","y","<>|"]
2023:12:30:19:01:49; 7186.924577713013; 3147049.282641107; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","b","j",".:","f","y","<>|"]
2023:12:30:19:03:34; 7292.253113269806; 3147049.282641107; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","b","j",".:","f","y","<>|"]
2023:12:30:19:05:16; 7393.892638921738; 3147049.282641107; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","-_","l","k","q@","b","j",".:","f","y","<>|"]
2023:12:30:19:06:58; 7496.379594564438; 3130097.2264421564; ["ä","c",",;","g","v","p","m","o","t","w","-_","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","q@","l","k","ö","b","j",".:","y","f","<>|"]
2023:12:30:19:08:44; 7602.021028280258; 3130097.2264421564; ["ä","c",",;","g","v","p","m","o","t","w","-_","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","q@","l","k","ö","b","j",".:","y","f","<>|"]
2023:12:30:19:10:31; 7709.071809768677; 3121845.1902844803; ["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s","ü","#'","x","q@","l","k","-_","b","j",".:","y","f","<>|"]
